"delta","ngen","ordering","kval","dataset"
118264960,15,5,20,"Pangenome"
118538521.6,16,5,20,"Pangenome"
118808448,17,5,20,"Pangenome"
119040985.6,18,5,20,"Pangenome"
119241715.2,19,5,20,"Pangenome"
119460569.6,20,5,20,"Pangenome"
119662502.4,21,5,20,"Pangenome"
119774348.8,22,5,20,"Pangenome"
119899430.4,23,5,20,"Pangenome"
120017344,24,5,20,"Pangenome"
120216064,25,5,20,"Pangenome"
120402790.4,26,5,20,"Pangenome"
120527385.6,27,5,20,"Pangenome"
120622707.2,28,5,20,"Pangenome"
120724531.2,29,5,20,"Pangenome"
120900006.4,30,5,20,"Pangenome"
120974528,31,5,20,"Pangenome"
121125977.6,32,5,20,"Pangenome"
121284761.6,33,5,20,"Pangenome"
121433536,34,5,20,"Pangenome"
121524787.2,35,5,20,"Pangenome"
121609267.2,36,5,20,"Pangenome"
121658764.8,37,5,20,"Pangenome"
121742438.4,38,5,20,"Pangenome"
121880806.4,39,5,20,"Pangenome"
121963417.6,40,5,20,"Pangenome"
122056985.6,41,5,20,"Pangenome"
122200422.4,42,5,20,"Pangenome"
122266739.2,43,5,20,"Pangenome"
122344614.4,44,5,20,"Pangenome"
122477440,45,5,20,"Pangenome"
122614169.6,46,5,20,"Pangenome"
122733696,47,5,20,"Pangenome"
122799347.2,48,5,20,"Pangenome"
122921574.4,49,5,20,"Pangenome"
123029747.2,50,5,20,"Pangenome"
123161651.2,51,5,20,"Pangenome"
123288294.4,52,5,20,"Pangenome"
123351270.4,53,5,20,"Pangenome"
123462336,54,5,20,"Pangenome"
123573107.2,55,5,20,"Pangenome"
123683660.8,56,5,20,"Pangenome"
109299520,1,6,20,"Pangenome"
111824793.6,2,6,20,"Pangenome"
113115609.6,3,6,20,"Pangenome"
114031347.2,4,6,20,"Pangenome"
114744473.6,5,6,20,"Pangenome"
115328384,6,6,20,"Pangenome"
115835763.2,7,6,20,"Pangenome"
116282304,8,6,20,"Pangenome"
116683289.6,9,6,20,"Pangenome"
116986368,10,6,20,"Pangenome"
117323776,11,6,20,"Pangenome"
117632716.8,12,6,20,"Pangenome"
117944755.2,13,6,20,"Pangenome"
118216537.6,14,6,20,"Pangenome"
118484403.2,15,6,20,"Pangenome"
118738060.8,16,6,20,"Pangenome"
118987430.4,17,6,20,"Pangenome"
119170611.2,18,6,20,"Pangenome"
