"ordering","ngen","delta","kval","dataset"
10,35,121402572.8,20,"Pangenome"
10,36,121571187.2,20,"Pangenome"
10,37,121669171.2,20,"Pangenome"
10,38,121747660.8,20,"Pangenome"
10,39,121824384,20,"Pangenome"
10,40,121964518.4,20,"Pangenome"
10,41,122100659.2,20,"Pangenome"
10,42,122166451.2,20,"Pangenome"
10,43,122246259.2,20,"Pangenome"
10,44,122396915.2,20,"Pangenome"
10,45,122468096,20,"Pangenome"
10,46,122598540.8,20,"Pangenome"
10,47,122723763.2,20,"Pangenome"
10,48,122840281.6,20,"Pangenome"
10,49,122956044.8,20,"Pangenome"
10,50,123031168,20,"Pangenome"
10,51,123097318.4,20,"Pangenome"
10,52,123219891.2,20,"Pangenome"
10,53,123340454.4,20,"Pangenome"
10,54,123461900.8,20,"Pangenome"
10,55,123570803.2,20,"Pangenome"
10,56,123683660.8,20,"Pangenome"
11,1,109268761.6,20,"Pangenome"
11,2,111342822.4,20,"Pangenome"
11,3,112854489.6,20,"Pangenome"
11,4,113877644.8,20,"Pangenome"
11,5,114643276.8,20,"Pangenome"
11,6,115074176,20,"Pangenome"
11,7,115603289.6,20,"Pangenome"
11,8,116064499.2,20,"Pangenome"
11,9,116366976,20,"Pangenome"
11,10,116773504,20,"Pangenome"
11,11,117117312,20,"Pangenome"
11,12,117335859.2,20,"Pangenome"
11,13,117527065.6,20,"Pangenome"
11,14,117825676.8,20,"Pangenome"
11,15,117982028.8,20,"Pangenome"
11,16,118152627.2,20,"Pangenome"
11,17,118412544,20,"Pangenome"
11,18,118517478.4,20,"Pangenome"
11,19,118771776,20,"Pangenome"
11,20,119010585.6,20,"Pangenome"
11,21,119235507.2,20,"Pangenome"
11,22,119367360,20,"Pangenome"
11,23,119609318.4,20,"Pangenome"
11,24,119804505.6,20,"Pangenome"
11,25,119885081.6,20,"Pangenome"
11,26,119980134.4,20,"Pangenome"
11,27,120085568,20,"Pangenome"
11,28,120183065.6,20,"Pangenome"
11,29,120373478.4,20,"Pangenome"
11,30,120564505.6,20,"Pangenome"
11,31,120750323.2,20,"Pangenome"
11,32,120846924.8,20,"Pangenome"
11,33,120939328,20,"Pangenome"
11,34,121112524.8,20,"Pangenome"
11,35,121294156.8,20,"Pangenome"
11,36,121368678.4,20,"Pangenome"
11,37,121518182.4,20,"Pangenome"
11,38,121692108.8,20,"Pangenome"
11,39,121770278.4,20,"Pangenome"
11,40,121912627.2,20,"Pangenome"
11,41,122066969.6,20,"Pangenome"
11,42,122125286.4,20,"Pangenome"
11,43,122192128,20,"Pangenome"
11,44,122336704,20,"Pangenome"
11,45,122392243.2,20,"Pangenome"
11,46,122544473.6,20,"Pangenome"
11,47,122690521.6,20,"Pangenome"
11,48,122796851.2,20,"Pangenome"
11,49,122920716.8,20,"Pangenome"
11,50,123052377.6,20,"Pangenome"
11,51,123175628.8,20,"Pangenome"
11,52,123235276.8,20,"Pangenome"
11,53,123350118.4,20,"Pangenome"
11,54,123471411.2,20,"Pangenome"
11,55,123581542.4,20,"Pangenome"
11,56,123683660.8,20,"Pangenome"
12,1,109314764.8,20,"Pangenome"
12,2,111856192,20,"Pangenome"
12,3,113132889.6,20,"Pangenome"
12,4,114042880,20,"Pangenome"
12,5,114753612.8,20,"Pangenome"
12,6,115318630.4,20,"Pangenome"
12,7,115725427.2,20,"Pangenome"
12,8,116062464,20,"Pangenome"
12,9,116500160,20,"Pangenome"
12,10,116776691.2,20,"Pangenome"
12,11,117171840,20,"Pangenome"
12,12,117517555.2,20,"Pangenome"
12,13,117813376,20,"Pangenome"
12,14,118102592,20,"Pangenome"
12,15,118376563.2,20,"Pangenome"
12,16,118643212.8,20,"Pangenome"
12,17,118806566.4,20,"Pangenome"
12,18,119070195.2,20,"Pangenome"
12,19,119214272,20,"Pangenome"
12,20,119351193.6,20,"Pangenome"
12,21,119558169.6,20,"Pangenome"
12,22,119676556.8,20,"Pangenome"
12,23,119884569.6,20,"Pangenome"
12,24,119992102.4,20,"Pangenome"
12,25,120089075.2,20,"Pangenome"
12,26,120187609.6,20,"Pangenome"
12,27,120294041.6,20,"Pangenome"
12,28,120476710.4,20,"Pangenome"
12,29,120574668.8,20,"Pangenome"
12,30,120774515.2,20,"Pangenome"
12,31,120868147.2,20,"Pangenome"
12,32,121016742.4,20,"Pangenome"
12,33,121103475.2,20,"Pangenome"
12,34,121258944,20,"Pangenome"
12,35,121431782.4,20,"Pangenome"
12,36,121508774.4,20,"Pangenome"
12,37,121577638.4,20,"Pangenome"
12,38,121720307.2,20,"Pangenome"
